Char,Neg[0...1000],Neut[0...1000],Pos[0...1000],Somma
😂,247,285,468,1
❤,44,166,790,1
♥,35,272,693,1
😍,52,219,729,1
😭,436,220,343,"0,999"
😘,53,193,754,1
😊,60,237,704,"1,001"
👌,94,249,657,1
💕,42,285,674,"1,001"
👏,104,271,624,"0,999"
😁,127,296,577,1
☺,62,218,720,1
♡,52,227,721,1
👍,115,248,637,1
😩,591,186,223,1
🙏,81,421,498,1
✌,113,310,576,"0,999"
😏,112,444,444,1
😉,100,337,563,1
🙌,101,238,661,1
🙈,164,241,596,"1,001"
💪,72,301,627,1
😄,137,305,558,1
😒,591,192,217,1
💃,45,177,779,"1,001"
💖,43,201,755,"0,999"
😃,72,299,629,1
😔,464,219,318,"1,001"
😱,264,282,454,1
🎉,39,184,777,1
😜,112,322,566,1
☯,6,987,7,1
🌸,40,270,690,1
💜,45,257,699,"1,001"
💙,33,204,763,1
✨,52,545,403,1
😳,327,327,345,"0,999"
💗,51,241,708,1
★,31,655,314,1
█,90,853,57,1
☀,28,479,493,1
😡,532,108,360,1
😎,106,297,597,1
😢,384,225,391,1
💋,39,231,730,1
😋,46,277,677,1
🙊,135,272,593,1
😴,422,237,341,1
🎶,97,270,634,"1,001"
💞,41,180,780,"1,001"
😌,141,237,623,"1,001"
🔥,124,613,263,1
💯,281,317,402,1
🔫,493,209,298,1
💛,43,205,752,1
💁,192,290,518,1
💚,78,189,733,1
♫,63,586,351,1
😞,479,161,361,"1,001"
😆,155,281,564,1
😝,132,313,555,1
😪,431,219,351,"1,001"
�,166,581,253,1
😫,485,174,340,"0,999"
😅,292,237,471,1
👊,265,243,492,1
💀,468,270,261,"0,999"
😀,86,260,654,1
😚,49,192,759,1
😻,69,243,688,1
©,131,621,248,1
👀,228,482,291,"1,001"
💘,48,221,731,1
🐓,109,755,137,"1,001"
☕,140,475,384,"0,999"
👋,158,270,571,"0,999"
✋,328,218,454,1
🎊,57,164,779,1
🍕,56,470,473,"0,999"
❄,99,295,605,"0,999"
😥,317,244,439,1
😕,601,195,204,1
💥,72,708,220,1
💔,414,293,293,1
😤,479,252,270,"1,001"
😈,204,326,470,1
►,125,588,287,1
✈,43,498,458,"0,999"
🔝,88,350,562,1
😰,436,148,416,1
⚽,53,278,669,1
😑,513,285,202,1
👑,43,219,738,1
😹,299,262,440,"1,001"
👉,71,468,461,1
🍃,102,418,480,1
🎁,41,158,801,1
😠,564,172,265,"1,001"
🐧,42,460,498,1
☆,32,509,460,"1,001"
🍀,25,665,310,1
🎈,18,246,736,1
🎅,29,625,347,"1,001"
😓,431,217,351,"0,999"
😣,540,131,328,"0,999"
😐,553,282,165,1
✊,139,293,568,1
😨,434,272,294,1
😖,483,188,328,"0,999"
💤,144,341,515,1
💓,61,214,725,1
👎,494,199,307,1
💦,141,247,612,1
✔,127,476,397,1
😷,474,221,305,1
⚡,44,735,221,1
🙋,130,255,615,1
🎄,67,335,598,1
💩,409,297,293,"0,999"
🎵,106,288,606,1
➡,13,827,160,1
😛,85,229,686,1
😬,267,272,461,1
👯,117,327,556,1
💎,57,325,618,1
🌿,9,597,393,"0,999"
🎂,83,221,696,1
🌟,59,554,386,"0,999"
🔮,35,663,302,1
❗,159,582,259,1
👫,220,305,475,1
🏆,36,203,761,1
✖,46,597,357,1
☝,144,402,454,1
😙,21,180,799,1
⛄,77,325,598,1
👅,124,290,585,"0,999"
♪,83,301,617,"1,001"
🍂,36,380,583,"0,999"
💏,181,250,569,1
🔪,210,511,280,"1,001"
🌴,77,320,602,"0,999"
👈,85,407,508,1
🌹,23,354,623,1
🙆,92,316,592,1
➜,52,734,214,1
👻,170,433,398,"1,001"
💰,158,433,409,1
🍻,107,274,619,1
🙅,458,286,256,1
🌞,24,394,582,1
🍁,37,445,518,1
⭐,37,346,617,1
▪,99,605,296,1
🎀,44,283,673,1
━,94,635,270,"0,999"
☷,19,898,83,1
🐷,77,477,445,"0,999"
🙉,176,314,510,1
🌺,20,412,569,"1,001"
💅,184,243,572,"0,999"
🐶,86,252,662,1
🌚,159,219,623,"1,001"
👽,94,497,409,1
🎤,122,279,599,1
👭,143,252,605,1
🎧,131,324,545,1
👆,121,433,447,"1,001"
🍸,92,277,631,1
🍷,57,493,450,1
®,71,579,350,1
🍉,79,245,676,1
😇,72,268,659,"0,999"
☑,22,855,123,1
🏃,94,406,500,1
😿,577,219,204,1
│,7,642,350,"0,999"
💣,306,381,313,1
🍺,67,373,560,1
▶,60,672,269,"1,001"
😲,386,295,318,"0,999"
🎸,16,453,531,1
🍹,48,246,706,1
💫,40,419,540,"0,999"
📚,189,287,525,"1,001"
😶,425,292,283,1
🌷,8,445,546,"0,999"
💝,76,203,720,"0,999"
💨,110,398,492,1
🏈,68,333,598,"0,999"
💍,148,226,626,1
☔,193,325,482,1
